date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:45	3700/3700	---M--	200	added ('OK')	font/woff	etag:%22e74-5916942734f00%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.woff	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css)
10:18:45	5400/5400	---MCZ	200	added ('OK')	font/ttf	etag:W/%221518-5916942734f00%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.ttf	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css)
10:18:45	32127/32127	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d7f-5916942640cc0%22	https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.svg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/kiddy/fonts/flaticon/font/flaticon.css)
10:18:45	975/975	---M--	200	added ('OK')	image/png	etag:%223cf-591693a952600%22	https://preview.colorlib.com/theme/kiddy/images/white-dots.png	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/white-dots.png	(from https://preview.colorlib.com/theme/kiddy/css/style.css)
10:18:46	16268/16268	---M--	200	added ('OK')	image/jpeg	etag:%2243fc-5916939ed4d40%22	https://preview.colorlib.com/theme/kiddy/images/person_4.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/person_4.jpg	(from https://preview.colorlib.com/theme/kiddy/about.html)
10:18:46	20866/20866	---M--	200	added ('OK')	image/jpeg	etag:%225697-5916939fc8f80%22	https://preview.colorlib.com/theme/kiddy/images/person_5.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/person_5.jpg	(from https://preview.colorlib.com/theme/kiddy/about.html)
10:18:46	58497/58497	---M--	200	added ('OK')	image/jpeg	etag:%22f01e-59169389d9bc0%22	https://preview.colorlib.com/theme/kiddy/images/img_2.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/img_2.jpg	(from https://preview.colorlib.com/theme/kiddy/gallery.html)
10:18:46	2614231/2614231	---M--	200	added ('OK')	image/jpeg	etag:%22294d94-591693991bfc0%22	https://preview.colorlib.com/theme/kiddy/images/hero_1.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/hero_1.jpg	(from https://preview.colorlib.com/theme/kiddy/about.html)
10:18:46	43898/43898	---M--	200	added ('OK')	image/jpeg	etag:%22bf98-5916938acde00%22	https://preview.colorlib.com/theme/kiddy/images/img_3.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/img_3.jpg	(from https://preview.colorlib.com/theme/kiddy/gallery.html)
10:18:47	114685/114685	---M--	200	added ('OK')	image/jpeg	etag:%221d053-5916938cb6280%22	https://preview.colorlib.com/theme/kiddy/images/img_4.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/img_4.jpg	(from https://preview.colorlib.com/theme/kiddy/gallery.html)
10:18:47	87867/87867	---M--	200	added ('OK')	image/jpeg	etag:%221622e-5916938e9e700%22	https://preview.colorlib.com/theme/kiddy/images/img_5.jpg	C:/temp/kiddy/kiddy/preview.colorlib.com/theme/kiddy/images/img_5.jpg	(from https://preview.colorlib.com/theme/kiddy/gallery.html)
10:18:47	13007/13007	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Mar%202021%2004:48:47%20GMT	https://static.cloudflareinsights.com/beacon.min.js	C:/temp/kiddy/kiddy/static.cloudflareinsights.com/beacon.min.js	(from https://preview.colorlib.com/theme/kiddy/gallery.html)
10:18:48	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226040b6ad-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/temp/kiddy/kiddy/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/kiddy/contact.html)
